customer_id,customer_name,city,state,order_count,total_revenue,average_order_value,customer_tenure_days,clv,clv_tier
1,Patricia Williams,Kanpur,Uttar Pradesh,2,15794.22,7897.11,893.0,19101.63,Medium
3,Neha Reddy,Ranchi,Jharkhand,3,53350.34000000001,17783.45,826.0,69755.91,Top
4,Sarah Pillai,Bhubaneswar,Odisha,4,45938.29,11484.57,400.0,68907.42,High
5,Sarah Verma,Lucknow,Uttar Pradesh,1,1899.71,1899.71,0.0,2849.56,Low
6,Meera Patel,Warangal,Telangana,1,1575.49,1575.49,0.0,2363.24,Low
8,Rohan Gupta,Panaji,Goa,1,9967.66,9967.66,0.0,14951.49,Medium
10,Patricia Nair,Udaipur,Rajasthan,1,5417.26,5417.26,0.0,8125.89,Low
12,Varun Reddy,Kochi,Kerala,1,28192.49,28192.49,0.0,42288.74,High
13,Arjun Patel,Chandigarh,Punjab,3,85021.9,28340.63,127.0,127532.84,Top
14,Kavya Jones,Patna,Bihar,2,18842.07,9421.04,485.0,28263.12,Medium
16,Sanjay Patel,Bhopal,Madhya Pradesh,1,28441.39,28441.39,0.0,42662.08,High
17,Priya Smith,Bhopal,Madhya Pradesh,2,27521.22,13760.61,750.0,39630.56,High
21,Priya Rodriguez,Nagpur,Maharashtra,4,21537.89,5384.47,939.0,24772.0,Medium
22,Joseph Miller,Bhopal,Madhya Pradesh,2,14884.55,7442.28,925.0,17378.73,Medium
24,Nikhil Jones,Jaipur,Rajasthan,1,19854.24,19854.24,0.0,29781.36,Medium
26,Vikram Shah,Dehradun,Uttarakhand,5,124929.54,24985.91,918.0,146975.94,Top
28,Divya Garcia,Delhi,Delhi,1,10444.44,10444.44,0.0,15666.66,Medium
30,Sarah Williams,Kanpur,Uttar Pradesh,5,70399.26000000001,14079.85,589.0,105598.88,Top
35,Aditya Jones,Guwahati,Assam,1,52776.22,52776.22,0.0,79164.33,Top
37,Meera Malhotra,Udaipur,Rajasthan,1,5287.35,5287.35,0.0,7931.02,Low
38,Karan Garcia,Raipur,Chhattisgarh,1,6218.679999999999,6218.68,0.0,9328.02,Low
39,Barbara Johnson,Mysuru,Karnataka,2,10018.04,5009.02,410.0,15027.06,Medium
41,Michael Chopra,Surat,Gujarat,1,913.01,913.01,0.0,1369.52,Low
44,Joseph Rao,Chandigarh,Punjab,1,4331.03,4331.03,0.0,6496.54,Low
48,Aditya Rodriguez,Surat,Gujarat,4,56408.37,14102.09,683.0,84612.54,Top
51,Kavya Shah,Udaipur,Rajasthan,8,81173.14,10146.64,790.0,110970.85,Top
